,xc,yc,area,box_label,imagename
86,1711.6913299560547,916.0843734741212,1353.9875449743122,[157.89537 130.08319 193.48729 166.08556],Sample10
87,1775.8825607299805,803.1463479995728,344.789023635356,[230.29083   27.10497  249.47429   43.187725],Sample10
88,1704.609474182129,885.9276466369629,1049.4552459566619,[151.88205 103.19822 185.3369  132.65707],Sample10
89,1684.8371276855469,924.184211730957,892.9198774886318,[134.40211 141.73746 163.27214 170.63097],Sample10
90,1671.7720108032227,989.4534454345703,674.476245503407,[124.27873 207.89398 147.26529 235.01291],Sample10
91,1653.88960647583,963.0210113525392,331.4069259846583,[109.6663   186.02327  126.112915 204.01875 ],Sample10
92,1782.6836242675781,892.0997581481934,134.81354406033643,[241.3395  118.83271 252.02776 129.3668 ],Sample10
93,1894.199535369873,911.7216033935547,506.9251184721943,[ 91.42984 132.97629 112.96923 154.46692],Sample10
94,1838.1787910461426,849.7135429382324,476.5108056683675,[35.58883  71.4716   56.768753 91.95548 ],Sample10
95,1977.2061004638672,870.8754425048828,450.96388666518027,[174.41127   93.3938   196.00093  112.357086],Sample10
96,1911.0997428894045,912.751579284668,190.08785556594376,[112.36477 138.68321 125.83472 150.81995],Sample10
97,2954.5604934692383,954.7966461181641,307.16574429348117,[130.29399 178.537   146.827   195.05629],Sample10
98,1645.2969284057615,1050.7296295166016,477.91372146864893,[ 99.54115    15.5797615 119.052704   37.879498 ],Sample10
99,1661.6271591186526,1087.5752754211426,959.7232919809177,[112.7238    46.174477 138.53052   80.976074],Sample10
100,1679.8804779052734,1035.021800994873,642.4634715758731,[130.4403     0.       157.32065   22.043602],Sample10
101,1928.0389938354485,1210.5754165649416,290.2664256750141,[127.8582  178.71597 144.21979 194.43486],Sample10
102,1851.258476257324,1202.6329727172854,155.59436295647174,[ 53.520226 172.89748   64.99673  184.36847 ],Sample10
103,2065.5406394004817,1098.300365447998,304.17668370515463,[ 9.492442 65.904434 25.588837 82.6963  ],Sample10
104,2079.838948249817,1145.1220664978027,236.81633673996842,[ 24.840036 113.72704   38.83786  128.51709 ],Sample10
105,2229.420684814453,1220.3633346557615,339.8086377000436,[173.17847 187.14587 189.6629  205.5808 ],Sample10
